time;2001;2002;2003;2004;2005
1;0.03;0.04;0.02;0.0375;0.0375
2;0.03;0.04;0.02;0.0375;0.0375
3;0.03;0.04;0.02;0.0375;0.0375
4;0.03;0.04;0.02;0.0375;0.0375
5;0.03;0.04;0.02;0.0375;0.0375
6;0.03;0.04;0.02;0.0375;0.0375
7;0.03;0.04;0.02;0.0375;0.0375
8;0.03;0.04;0.02;0.0375;0.0375
9;0.03;0.04;0.02;0.0375;0.0375
10;0.03;0.04;0.02;0.0375;0.0375
11;0.03;0.04;0.02;0.0375;0.0375
12;0.03;0.04;0.02;0.0375;0.0375
13;0.03;0.04;0.02;0.0375;0.0375
14;0.03;0.04;0.02;0.0375;0.0375
15;0.03;0.04;0.02;0.0375;0.0375
16;0.03;0.04;0.02;0.0375;0.0375
17;0.03;0.04;0.02;0.0375;0.0375
18;0.03;0.04;0.02;0.0375;0.0375
19;0.03;0.04;0.02;0.0375;0.0375
20;0.03;0.04;0.02;0.0375;0.0375
21;0.03;0.04;0.02;0.0375;0.0375
22;0.03;0.04;0.02;0.0375;0.0375
23;0.03;0.04;0.02;0.0375;0.0375
24;0.03;0.04;0.02;0.0375;0.0375
25;0.03;0.04;0.02;0.0375;0.0375
26;0.03;0.04;0.02;0.0375;0.0375
27;0.03;0.04;0.02;0.0375;0.0375
28;0.03;0.04;0.02;0.0375;0.0375
29;0.03;0.04;0.02;0.0375;0.0375
30;0.03;0.04;0.02;0.0375;0.0375
31;0.03;0.04;0.02;0.0375;0.0375
32;0.03;0.04;0.02;0.0375;0.0375
33;0.03;0.04;0.02;0.0375;0.0375
34;0.03;0.04;0.02;0.0375;0.0375
35;0.03;0.04;0.02;0.0375;0.0375
36;0.03;0.04;0.02;0.0375;0.0375
37;0.03;0.04;0.02;0.0375;0.0375
38;0.03;0.04;0.02;0.0375;0.0375
39;0.03;0.04;0.02;0.0375;0.0375
40;0.03;0.04;0.02;0.0375;0.0375
41;0.03;0.04;0.02;0.0375;0.0375
42;0.03;0.04;0.02;0.0375;0.0375
43;0.03;0.04;0.02;0.0375;0.0375
44;0.03;0.04;0.02;0.0375;0.0375
45;0.03;0.04;0.02;0.0375;0.0375
46;0.03;0.04;0.02;0.0375;0.0375
47;0.03;0.04;0.02;0.0375;0.0375
48;0.03;0.04;0.02;0.0375;0.0375
49;0.03;0.04;0.02;0.0375;0.0375
50;0.03;0.04;0.02;0.0375;0.0375
51;0.03;0.04;0.02;0.0375;0.0375
52;0.03;0.04;0.02;0.0375;0.0375
53;0.03;0.04;0.02;0.0375;0.0375
54;0.03;0.04;0.02;0.0375;0.0375
55;0.03;0.04;0.02;0.0375;0.0375
56;0.03;0.04;0.02;0.0375;0.0375
57;0.03;0.04;0.02;0.0375;0.0375
58;0.03;0.04;0.02;0.0375;0.0375
59;0.03;0.04;0.02;0.0375;0.0375
60;0.03;0.04;0.02;0.0375;0.0375
61;0.03;0.04;0.02;0.0375;0.0375
62;0.03;0.04;0.02;0.0375;0.0375
63;0.03;0.04;0.02;0.0375;0.0375
64;0.03;0.04;0.02;0.0375;0.0375
65;0.03;0.04;0.02;0.0375;0.0375
66;0.03;0.04;0.02;0.0375;0.0375
67;0.03;0.04;0.02;0.0375;0.0375
68;0.03;0.04;0.02;0.0375;0.0375
69;0.03;0.04;0.02;0.0375;0.0375
70;0.03;0.04;0.02;0.0375;0.0375
71;0.03;0.04;0.02;0.0375;0.0375
72;0.03;0.04;0.02;0.0375;0.0375
73;0.03;0.04;0.02;0.0375;0.0375
74;0.03;0.04;0.02;0.0375;0.0375
75;0.03;0.04;0.02;0.0375;0.0375
76;0.03;0.04;0.02;0.0375;0.0375
77;0.03;0.04;0.02;0.0375;0.0375
78;0.03;0.04;0.02;0.0375;0.0375
79;0.03;0.04;0.02;0.0375;0.0375
80;0.03;0.04;0.02;0.0375;0.0375
81;0.03;0.04;0.02;0.0375;0.0375
82;0.03;0.04;0.02;0.0375;0.0375
83;0.03;0.04;0.02;0.0375;0.0375
84;0.03;0.04;0.02;0.0375;0.0375
85;0.03;0.04;0.02;0.0375;0.0375
86;0.03;0.04;0.02;0.0375;0.0375
87;0.03;0.04;0.02;0.0375;0.0375
88;0.03;0.04;0.02;0.0375;0.0375
89;0.03;0.04;0.02;0.0375;0.0375
90;0.03;0.04;0.02;0.0375;0.0375
91;0.03;0.04;0.02;0.0375;0.0375
92;0.03;0.04;0.02;0.0375;0.0375
93;0.03;0.04;0.02;0.0375;0.0375
94;0.03;0.04;0.02;0.0375;0.0375
95;0.03;0.04;0.02;0.0375;0.0375
96;0.03;0.04;0.02;0.0375;0.0375
97;0.03;0.04;0.02;0.0375;0.0375
98;0.03;0.04;0.02;0.0375;0.0375
99;0.03;0.04;0.02;0.0375;0.0375
100;0.03;0.04;0.02;0.0375;0.0375
101;0.03;0.04;0.02;0.0375;0.0375
102;0.03;0.04;0.02;0.0375;0.0375
103;0.03;0.04;0.02;0.0375;0.0375
104;0.03;0.04;0.02;0.0375;0.0375
105;0.03;0.04;0.02;0.0375;0.0375
106;0.03;0.04;0.02;0.0375;0.0375
107;0.03;0.04;0.02;0.0375;0.0375
108;0.03;0.04;0.02;0.0375;0.0375
109;0.03;0.04;0.02;0.0375;0.0375
110;0.03;0.04;0.02;0.0375;0.0375
111;0.03;0.04;0.02;0.0375;0.0375
112;0.03;0.04;0.02;0.0375;0.0375
113;0.03;0.04;0.02;0.0375;0.0375
114;0.03;0.04;0.02;0.0375;0.0375
115;0.03;0.04;0.02;0.0375;0.0375
116;0.03;0.04;0.02;0.0375;0.0375
117;0.03;0.04;0.02;0.0375;0.0375
118;0.03;0.04;0.02;0.0375;0.0375
119;0.03;0.04;0.02;0.0375;0.0375
120;0.03;0.04;0.02;0.0375;0.0375
